idx,title,englishTitle,explanation
1,Trọng lượng của đối tượng chuyển động,Weight of Moving Object,uhm
2,Trọng lượng của đối tượng bất động,Weight of Stationary Object,uhm
3,Độ dài/góc của đối tượng chuyển động,Length/Angle of Moving Object,uhm
4,Độ dài/góc của đối tượng bất động,Length/Angle of Stationary Object,uhm
5,Diện tích của đối tượng chuyển động,Area of Moving Object,uhm
6,Diện tích của đối tượng bất động,Area of Stationary Object,uhm
7,Thể tích của đối tượng chuyển động,Volume of Moving Object,uhm
8,Thể tích của đối tượng bất động,Volume of Stationary Object,uhm
9,Hình dạng,Shape,uhm
10,Lượng chất thể,Amount of Substance,uhm
11,Lượng thông tin,Amount of Information,uhm
12,Thời gian hoạt động của đối tượng chuyển động,Duration of Action of Moving Object,uhm
13,Thời gian hoạt động của đối tượng bất động,Duration of Action of Stationay Object,uhm
14,Tốc độ,Speed,uhm
15,Lực/ Mômen xoắn,Force/Torque,uhm
16,Năng lượng tiêu hao bởi đối tượng chuyển động,Energy Used by Moving Object,uhm
17,Năng lượng tiêu hao bởi đối tượng bất động,Energy Used by Stationary Object,uhm
18,Công suất,Power,uhm
19,Ứng suất/Áp suất,Stress/Pressure,uhm
20,Độ bền,Strength,uhm
21,Độ ổn định,Stability of the Object’s Composition,uhm
22,Nhiệt độ,Temperature,uhm
23,Độ chiếu sáng,Illumination Intensity,uhm
24,Hiệu quả chức năng,Funtion Efficiency,uhm
25,Chất thể mất mát,Loss of Substance,uhm
26,Thời gian mất mát,Loss of Time,uhm
27,Năng lượng mất mát,Loss of Energy,uhm
28,Thông tin mất mát,Loss of Information,uhm
29,Độ ồn,Noise,uhm
30,Chất thải độc hại,Harmful Emissions,uhm
31,Những nhân tố có hại sinh ra bởi đối tượng,Other Harmful Effects Generated by System,uhm
32,Độ thích nghi,Adaptability/Versatility,uhm
33,Khả năng tương thích,Compatibility/Connectability,uhm
34,Tiện lợi trong hoạt động,Ease of Operation,uhm
35,Độ tin cậy,Reliability/Robustness,uhm
36,Khả năng sửa chữa,Repairability,uhm
37,Độ bảo mật,Security,uhm
38,Độ an toàn,Safety/Vulnerability,uhm
39,Tính thẩm mỹ,Aesthetics/Appearance,uhm
40,Những hiệu ứng có hại tác động lên đối tượng,Other Harmful Effects Acting On the System,uhm
41,Năng lực chế tạo,Manufacturability,uhm
42,Độ chính xác trong chế tạo,Manufacture Precision/Consistency,uhm
43,Mức độ tự động hóa,Automation,uhm
44,Năng suất,Productivity,uhm
45,Độ phức tạp của đối tượng,System Complexity,uhm
46,Độ phức tạp trong kiểm soát,Control Complexity,uhm
47,Điều mơ hồ tích cực,Positive Intangibles,uhm
48,Điều mơ hồ tiêu cực,Negative Intangibles,uhm
49,Năng lực xác định,Ability to Detect/Measure,uhm
50,Độ chính xác trong đo lường,Measurement Precision,uhm
